Dim = 9
1 72.0 1
11 68.1200000000000045 58.9342
12 57.9200000000000017 68.3295
13 40.2800000000000011 78.2895
17 39.7199999999999989 123.527
20 38.6199999999999974 162.836
22 38.4600000000000009 191.478
52 38.3699999999999974 826.429
55 37.8299999999999983 909.11
62 37.8100000000000023 1114.46
65 37.7199999999999989 1207.68
67 37.4200000000000017 1271.53
73 37.2199999999999989 1471.12
78 36.0000000000000000 1646.5
